,bsz,lr,model,acc
464,128,0.01,MLP,42.39
465,128,0.01,MLP,44.63
466,128,0.01,MLP,43.02
467,128,0.01,MLP,27.92
468,128,0.01,MLP,43.61
469,128,0.01,MLP,41.48
470,512,0.0001,CNN,45.96
471,512,0.0001,CNN,56.86
472,512,0.0001,CNN,20.89
473,512,0.0001,CNN,18.48
474,512,0.0001,CNN,38.95
475,512,0.0001,CNN,27.57
476,512,0.0001,CNN,32.79
477,512,0.0001,CNN,31.93
478,512,0.0001,CNN,10.19
479,512,0.0001,CNN,24.27
480,8,0.001,CNN,32.9
481,8,0.001,CNN,51.81
482,8,0.001,CNN,18.31
483,8,0.001,CNN,42.66
484,8,0.001,CNN,28.4
485,8,0.001,CNN,31.54
486,8,0.001,CNN,12.4
487,8,0.001,CNN,24.34
488,8,0.001,CNN,17.39
489,8,0.001,CNN,25.77
490,256,0.1,MLP,19.02
491,256,0.1,MLP,17.6
492,256,0.1,MLP,5.99
493,256,0.1,MLP,9.73
494,256,0.1,MLP,20.96
495,256,0.1,MLP,10.93
496,256,0.1,MLP,12.56
497,256,0.1,MLP,19.32
498,256,0.1,MLP,10.41
499,256,0.1,MLP,13.5
500,128,0.0001,MLP,70.25
501,128,0.0001,MLP,57.59
502,128,0.0001,MLP,75.35
503,128,0.0001,MLP,46.5
504,128,0.0001,MLP,60.23
505,128,0.0001,MLP,55.0
506,128,0.0001,MLP,45.88
507,128,0.0001,MLP,51.69
508,128,0.0001,MLP,35.22
509,128,0.0001,MLP,55.8
510,16,0.01,MLP,44.93
511,16,0.01,MLP,38.4
512,16,0.01,MLP,44.03
513,16,0.01,MLP,43.02
514,16,0.01,MLP,48.52
515,16,0.01,MLP,34.82
516,16,0.01,MLP,49.05
517,16,0.01,MLP,41.72
518,16,0.01,MLP,44.82
519,16,0.01,MLP,34.57
520,256,0.01,CNN,21.6
521,256,0.01,CNN,23.62
522,256,0.01,CNN,18.14
523,256,0.01,CNN,26.34
524,256,0.01,CNN,9.84
525,256,0.01,CNN,21.42
526,256,0.01,CNN,14.31
527,256,0.01,CNN,17.95
528,256,0.01,CNN,26.63
529,256,0.01,CNN,11.62
530,256,0.001,MLP,70.69
531,256,0.001,MLP,45.09
532,256,0.001,MLP,40.43
533,256,0.001,MLP,39.21
534,256,0.001,MLP,23.77
535,256,0.001,MLP,64.18
536,256,0.001,MLP,64.02
537,256,0.001,MLP,37.95
538,256,0.001,MLP,41.03
539,256,0.001,MLP,32.84
540,16,0.01,CNN,16.77
541,16,0.01,CNN,12.4
542,16,0.01,CNN,12.04
543,16,0.01,CNN,14.83
544,16,0.01,CNN,13.21
545,16,0.01,CNN,21.37
546,16,0.01,CNN,8.72
547,16,0.01,CNN,18.58
548,16,0.01,CNN,22.3
549,16,0.01,CNN,15.22
550,256,0.0001,CNN,27.62
551,256,0.0001,CNN,77.86
552,256,0.0001,CNN,37.96
553,256,0.0001,CNN,9.84
554,256,0.0001,CNN,62.04
555,256,0.0001,CNN,33.94
556,256,0.0001,CNN,40.51
557,256,0.0001,CNN,37.77
558,256,0.0001,CNN,42.35
559,256,0.0001,CNN,46.48
